#Sample ID	Index.AO	all_data	Latitude	Longitude	Depth	Date.Collection	PlotCreated	Type	Dry.weight.g_g.2017	ResinP.ppm.2017	Soil.pH.water.2017	Soil.pH.CaCl2.2017	pH.water	pH.CaCl2	LOI.per	Total.C.per	Total.N.per	Total.P.mg_kg	DOC_mg.C_kg	DON_mg.N_kg	DOC_DON	NH4.mg.N_kg	NO3.mg.N_kg	TDN.mg.N_kg	DIN.mg.N_kg	ResinP.mg_kg	Meh.Al.mg.Al_kg	Meh.Ca.mg.Ca_kg	Meh.Fe.mg.Fe_kg	Meh.K.mg.K_kg	Meh.Mg.mg.Mg_kg	Meh.Mn.mg.Mn_kg	Meh.P.mg.P_kg	Meh.Zn.mg.Zn_kg	Ca_Mg	N.E_TP.mg_kg	N.E.Pi.mg_kg	NE.Po.mg_kg	C.N	C.P	N.P	C.Po	C.N.atomic	C.P.atomic	N.P.atomic	C.Po.atomic	TEB	ECEC	BS	FumRel.C	FumRel.N	FumRel.P	MUP	bisMUP	BG	NAG	SULF	MUP.1	bisMUP.1	MUP.2	bisMUP.2	PME.PDE	PME.PDE.1	MUP.SMBC.corr	bisMUP.SMBcorr	BG.SMB	NAG.SMB	SULF.SMB	BG.NA	BG.AP	NA.AP	MUP.TC	bisMUP.TC	BG.TC	NAG.TC	SULF.TC	SMB.C	SMB.N	SMB.P	SMB.C.N	SMB.C.P	SM.N.P	SMB.C.N.1	SMB.C.P.1	SM.N.P.1	Ox.Al	Ox.Fe	Ox.Mn	Ox.P	Ox.Al.1	Ox.Fe.1	Ox.Mn.1	Ox.P.1	DPS	Date.Soil.Measurements	MAT	MDR	MAXT	MINT	MAP	PSEA	Aridity_Index	NPP_2008_2019
P21_0202	4	yes	9.1415	-79.6935	0-10 cm	17-Jul-17	P21	plot	0.63	8.81	6.86	6.15	5.8	5.36	25.8	9.88	0.93	484	114.321201	8.27	13.8	1.31	11.71	21.29	13.02	3.961	664.9	7520.1	89.6	96.4	836.4	35.2	7	8.9	5.5	289.2	76.4	212.8	10.6	204.3	19.3	464.4	12.4	526.7	42.6	1197.7	44.7	52.7	85	928.4	147.5	114	46.9	7.1	8.8	11.6	7.4	31.7	3.3	20.2	2.2	6.6	9.4	23	3.5	4.3	5.6	3.6	0.76	0.19	0.25	47.5	7.2	8.9	11.8	7.5	2063	328	285	6.3	7.2	1.2	7.3	18.7	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	29-Jun-09	26.5	7.2	31.8	22	2304	60	1.6	0.71
P21_0204	5	yes	9.1415	-79.6935	0-10 cm	17-Jul-17	P21	plot	0.6	2.41	6.26	5.33	5.95	4.86	19	4.3	0.43	376	68.01490442	0.05	NA	2.67	0.71	3.43	3.37	1.652	816.4	5167	87.4	28	852	22	5.3	0.4	3.7	283.2	58.2	225	10.1	114.3	11.3	191.2	11.8	294.8	25.1	493.1	32.9	42.5	77	323	57.2	28.4	20.5	3.7	3.2	3.5	4.1	11.5	1.8	1.7	0.3	5.5	6.5	29	5.2	4.4	4.9	5.7	0.9	0.16	0.17	47.6	8.6	7.4	8.2	9.6	718	127	71	5.6	10.1	1.8	6.6	26.1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	29-Jun-09	26.5	7.2	31.8	22	2304	60	1.6	0.71
P21_0303	7	yes	9.1415	-79.6935	0-10 cm	17-Jul-17	P21	plot	0.56	7.49	6.38	5.38	4.92	4.58	15.2	3.75	0.36	333	58.91564964	4.53	13	1.26	0.25	6.04	1.51	2.376	1051.2	5385.9	55.9	172.1	905.4	10.2	3.7	1.4	3.6	252.1	48.6	203.5	10.4	112.6	10.8	184.4	12.1	290.5	23.9	475.5	34.8	46.8	74	258.1	36.3	20.2	14.6	3.3	2.6	2.4	2.2	9.2	1.4	0.7	0.2	4.4	6.4	25	5.8	4.5	4.2	3.8	1.07	0.18	0.17	38.9	8.8	6.9	6.4	5.8	573	81	51	7.1	11.3	1.6	8.3	29.3	3.5	4.3	3.9	0.88	132.4	159.6	70.3	16.1	4.3	1.9	29-Jun-09	26.5	7.2	31.8	22	2304	60	1.6	0.71
P21_0402	9	yes	9.1415	-79.6935	0-10 cm	17-Jul-17	P21	plot	0.59	4.54	6.34	5.28	5.72	5.62	21.4	4.06	0.35	367	64.07279404	7.74	8.3	1.04	0.34	9.12	1.38	1.691	645.8	4265.4	69.1	66.8	819.2	58.9	3.2	0.7	3.2	197.2	44.3	152.8	11.6	110.7	9.5	265.9	13.6	285.5	21	685.7	28.2	36	78	215.1	34.2	22	12.2	1.9	3.6	3.2	2.9	6.9	0.9	4.5	0.7	6.5	7.8	26	3.9	7.5	6.6	6.1	1.13	0.29	0.26	30	4.6	8.8	7.8	7.2	478	76	55	6.3	8.7	1.4	7.3	22.4	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	29-Jun-09	26.5	7.2	31.8	22	2304	60	1.6	0.71
P21_0404	10	yes	9.1415	-79.6935	0-10 cm	17-Jul-17	P21	plot	0.55	6.91	6.51	5.52	6.56	5.8	17.9	5.93	0.53	371	69.47294524	2.02	34.3	1.16	0.78	3.96	1.94	3.903	579.2	4238.5	65.8	48.8	555.7	104.2	4.9	0.7	4.6	207.2	46.1	161.1	11.2	160	14.3	368.3	13.1	412.6	31.6	949.9	25.8	33	78	232.4	51.8	31.5	12.7	2.1	3.6	4.4	3.3	6.9	1	9.9	1.4	5.9	7.1	25	4.1	6.9	8.5	6.4	0.82	0.28	0.35	21.4	3.6	6	7.4	5.6	516	115	79	4.5	6.5	1.5	5.2	16.9	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	29-Jun-09	26.5	7.2	31.8	22	2304	60	1.6	0.71
P22_0202	17	yes	9.1479	-79.6931	0-10 cm	17-Jul-17	P22	plot	0.57	5.84	6.34	5.42	5.63	5.58	11.87598529	2.93	0.28	377.5011145	43.895	5.13025	8.6	1.5655	2.8015	9.49725	4.367	3.002	780.5	1877.9	141.8	168.7	762.4	100.3	4.3	3.1	1.5	153.7	32.2	121.5	10.6	77.5	7.3	240.9	12.4	200	16.1	621.3	16.1	25.9	62	114.9	33.8	10.8	14.2	2.3	4.1	3.1	2.8	9.3	1.1	3.3	0.3	6.3	8.5	56	8.9	16	12	10.9	1.34	0.29	0.21	48.6	7.7	14	10.4	9.5	255	75	27	3.4	9.4	2.8	4	24.4	6.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	31-Aug-09	26.1	7.2	31.4	21.7	2401	61	1.67	0.71
P22_0204	18	yes	9.1479	-79.6931	0-10 cm	17-Jul-17	P22	plot	0.66	6.62	6.24	5.11	6.01	5.53	9.777163586	3.32	0.29	455.4904367	26.72	1.48275	18	0.8975	3.702	6.08225	4.5995	4.835	739.5	2360.2	150.3	69.5	526.6	181.4	3.6	5.4	2.7	217.2	42.4	174.8	11.5	72.9	6.4	190.1	13.4	188.1	14.1	490.2	16.3	26	63	138.1	45.9	22	16.9	2.7	5	3.4	3.7	9.1	1	5.6	0.4	6.2	9.1	55	8.8	16.2	11	12.1	1.47	0.3	0.2	50.7	8.1	15	10.2	11.2	307	102	55	3	5.6	1.9	3.5	14.4	4.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	31-Aug-09	26.1	7.2	31.4	21.7	2401	61	1.67	0.71
P22_0303	20	yes	9.1479	-79.6931	0-10 cm	17-Jul-17	P22	plot	0.58	2.84	6.66	5.76	6.16	5.68	11.33505599	3	0.3	465.4147439	34.845	2.40775	14.5	0.716	2.596	5.71975	3.312	3.612	835.4	2406.8	166.3	68.8	604.1	184.2	4.3	7	2.4	232.6	36	196.7	10	64.4	6.4	152.4	11.7	166	14.2	392.9	17.2	28	61	122.6	40.8	14.1	17.4	2.7	4.3	2.5	3.3	9.3	1.2	4.1	0.4	6.3	8	64	10.1	15.6	9.2	12	1.69	0.24	0.15	57.9	9.2	14.2	8.4	10.9	272	91	35	3	7.7	2.6	3.5	19.9	5.7	1.6	3.8	1.39	94.6	57.5	68.5	25.3	3.1	2.4	31-Aug-09	26.1	7.2	31.4	21.7	2401	61	1.67	0.71
P22_0402	22	yes	9.1479	-79.6931	0-10 cm	17-Jul-17	P22	plot	0.52	7.9	6.58	5.79	6.37	5.73	15.14084507	5.35	0.48	628.4503259	51.92	3.28875	15.8	1.1285	7.1975	11.61475	8.326	7.592	831	2145.1	153.5	170.2	458.4	190.8	6.3	5.5	2.8	326	52.9	273.2	11.2	85.1	7.6	195.7	13.1	219.3	16.7	504.7	14.9	25.7	58	205	89	49	28.5	3.9	6.7	4.1	6.8	16.7	1.8	9.9	1	7.3	9.3	63	8.6	14.7	9.1	15	1.62	0.24	0.15	53.3	7.3	12.5	7.7	12.8	455	198	123	2.3	3.7	1.6	2.7	9.6	3.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	31-Aug-09	26.1	7.2	31.4	21.7	2401	61	1.67	0.71
P22_0404	23	yes	9.1479	-79.6931	0-10 cm	17-Jul-17	P22	plot	0.59	3.26	6.35	5.3	6.2	5.27	10.19283747	2.61	0.25	436.2478031	55.42	4.98725	11.1	0.3215	3.3935	8.70225	3.715	3.901	701.6	2719.9	197.5	276	935.5	85.7	5.8	6.7	1.8	169.9	34.8	135.1	10.5	59.9	5.7	193.4	12.2	154.5	12.6	498.8	22	31.2	71	134.2	45.8	20.1	23.9	3.3	4.8	2.7	4.6	11.2	1.4	2.2	0.4	7.3	7.8	80	11	16	9.1	15.4	1.75	0.2	0.11	91.4	12.6	18.2	10.4	17.6	298	102	50	2.9	5.9	2	3.4	15.3	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	31-Aug-09	26.1	7.2	31.4	21.7	2401	61	1.67	0.71
CP_tr0104	30	yes	9.1263	-79.7053	0-10 cm	18-Jul-17	CerroPeladoTr	transect	0.68	3.81	4.98	4.02	5.64	4.68	12.9204764	3.99	0.3	198.2253112	91.62475612	6.635746831	13.8	1.499015714	1.630620947	9.765383492	3.129636661	0.303402515	1070.6	992.4	205.1	77.8	418.5	27.4	0.9	1.8	1.4	103.2	16	87.1	13.3	201.1	15.1	457.6	15.5	518.7	33.4	1180.1	8.6	21.7	40	242.3	48.1	27.4	35.1	8.7	2	2.1	1	18.9	2.4	0.3	0	4	8	65	16.1	3.8	3.9	1.8	0.99	0.06	0.06	88.1	21.8	5.1	5.2	2.4	538	107	68	5	7.9	1.6	5.9	20.3	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	24-Nov-10	26.1	7.2	31.4	21.6	2403	61	1.66	0.65
CP_tr0105	31	yes	9.1261	-79.7053	0-10 cm	18-Jul-17	CerroPeladoTr	transect	0.73	3.46	4.74	3.8	4.67	3.86	10.02360877	3.16	0.23	181.1939292	152.0270523	13.33006532	11.4	1.104644827	2.073775604	16.50848575	3.178420431	0.272592474	746.6	130.9	145.2	18	66.9	40.9	1.6	1.6	1.2	86.8	20	66.8	13.8	174.4	12.6	473.1	16.1	449.7	27.9	1220	1.2	10.5	12	259.3	53.4	28.7	41.8	10.4	1.5	1.6	0.9	16.8	1.9	0.1	0	4	8.7	73	18.1	2.6	2.8	1.5	0.92	0.04	0.04	132.4	33.1	4.7	5.1	2.8	576	119	72	4.9	8	1.7	5.7	20.7	3.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	24-Nov-10	26.1	7.2	31.4	21.6	2403	61	1.66	0.65
CP_tr0202	33	yes	9.126	-79.7068	0-10 cm	18-Jul-17	CerroPeladoTr	transect	0.67	5.26	5.91	4.74	6.26	5.28	15.09614891	4.52	0.38	323.4250586	59.7194522	5.80279978	10.3	1.577012935	1.78785116	9.167663874	3.364864095	0.759441708	1013.2	1805.3	102.4	40.8	1321.9	127.1	1.1	2.1	0.8	143	27.6	115.4	11.8	139.8	11.8	391.8	13.8	360.5	26.2	1010.5	20	32.3	62	276.9	54.3	26	21.3	4.9	2.8	2.7	1.8	8.7	1.1	4.1	0.3	4.4	7.7	35	7.9	4.5	4.4	2.9	1.02	0.13	0.13	47.2	10.8	6.2	6	4	615	121	65	5.1	9.5	1.9	5.9	24.4	4.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	24-Nov-10	26.1	7.2	31.4	21.6	2403	61	1.66	0.65
CP_tr0204	35	yes	9.1263	-79.7072	0-10 cm	18-Jul-17	CerroPeladoTr	transect	0.7	7.29	6.39	5.27	5.38	4.28	11.42648209	3.67	0.32	215.1559471	71.14517248	6.726897056	10.6	2.606748117	1.033406027	10.3670512	3.640154144	0.442125311	908.3	589.5	241	31.3	608.7	146.5	0.7	3.3	0.6	122.9	23.8	99.1	11.6	170.8	14.7	370.8	13.5	440.4	32.6	956.2	8	20	40	200.3	39.5	24.1	30.5	8	1.4	2.2	0.8	17	1.7	0.6	0	3.8	9.9	68	18	3.1	5	1.8	0.64	0.05	0.07	82.9	21.8	3.8	6	2.2	445	88	60	5.1	7.4	1.5	5.9	19.1	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	24-Nov-10	26.1	7.2	31.4	21.6	2403	61	1.66	0.65
CP_tr0205	36	yes	9.1266	-79.7074	0-10 cm	18-Jul-17	CerroPeladoTr	transect	0.7	5.23	5.65	4.46	5.62	4.59	12.67793366	3.65	0.32	234.4828175	42.6522943	3.857627901	11.1	0.780425897	0.9765625	5.614616297	1.756988397	0.455441904	895.4	1276.9	221.9	57	716.4	79.8	0.9	2.9	1.1	135.6	27	108.6	11.4	155.8	13.7	336.4	13.3	401.8	30.3	867.4	12.4	23.9	52	235.2	47	29.8	35.1	7.4	3.4	3.7	1.8	16.9	2.1	1.1	0.1	4.8	7.9	67	14.1	6.5	7.1	3.5	0.9	0.1	0.11	96	20.1	9.2	10.2	4.9	523	105	75	5	7	1.4	5.8	18.1	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	24-Nov-10	26.1	7.2	31.4	21.6	2403	61	1.66	0.65
P40Cha_tr0104	45	yes	9.0895	-79.6733	0-10 cm	19-Jul-17	P40_Charco	transect	0.61	7.13	5.49	4.48	5.36	4.28	17.10409136	3.56	0.33	926.2507203	166.9336055	10.59411861	15.8	1.452140851	0.455671784	12.50193125	1.907812635	0.507766902	1432.7	1635.9	148.4	34.6	903.2	81.9	5.9	10.8	1.1	336.9	97	239.9	10.7	38.4	3.6	148.4	12.5	99.1	8	382.7	15.7	32.7	48	387.5	63.5	37.5	26.4	5.9	3.7	3.3	3.2	15.1	1.6	0.2	0	4.5	9.7	31	6.9	4.3	3.9	3.8	1.11	0.14	0.13	74.1	16.6	10.4	9.3	9.1	861	141	94	6.1	9.2	1.5	7.1	23.7	3.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	06-Dec-10	26.2	7.4	31.6	21.8	2266	63	1.58	0.7
P40Cha_tr0105	46	yes	9.0893	-79.673	0-10 cm	19-Jul-17	P40_Charco	transect	0.61	6.39	5.37	4.27	5.33	4.32	16.47135417	4.4	0.39	981.1655405	216.8638658	12.97426725	16.7	3.929844869	1.884539244	18.78865137	5.814384114	1.703828345	1340.2	1960.4	151.7	32.5	796.5	147.8	2.7	2.2	1.5	406.3	122.5	283.7	11.2	44.9	4	155.2	13	115.8	8.9	400.3	16.4	32.7	50	423.4	70.9	28.7	41.9	6.3	3.9	3.6	5.1	20	2.1	0.4	0	6.6	9.5	45	6.7	4.1	3.8	5.4	1.08	0.09	0.09	95.1	14.3	8.8	8.2	11.5	941	158	72	6	13.1	2.2	7	33.8	4.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	06-Dec-10	26.2	7.4	31.6	21.8	2266	63	1.58	0.7
P40Cha_tr0202	48	yes	9.0903	-79.6725	0-10 cm	19-Jul-17	P40_Charco	transect	0.54	6.7	4.94	4.05	4.68	3.8	16.07902319	4.85	0.38	442.3703526	219.273813	14.34067364	15.3	2.058904645	1.523102344	17.92268063	3.582006989	0.414381723	1538.9	205.6	151.5	25.2	84.6	122.6	3.3	0.3	1.5	163.6	39.6	124	12.9	109.7	8.5	391.5	15.1	283	18.8	1009.5	1.8	20.2	9	368.9	61.7	35.9	69.5	12.2	3.3	5.2	1.1	27.2	2.6	0	0.1	5.7	10.6	85	14.8	4	6.4	1.4	0.63	0.05	0.08	143.2	25.1	6.7	10.8	2.4	820	137	90	6	9.1	1.5	7	23.5	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	06-Dec-10	26.2	7.4	31.6	21.8	2266	63	1.58	0.7
P40Cha_tr0204	50	yes	9.0905	-79.6727	0-10 cm	19-Jul-17	P40_Charco	transect	0.63	3.17	4.92	3.88	4.75	3.85	14.96099522	4.61	0.39	521.3168837	294.734266	19.28654873	15.3	1.595957914	2.568925887	23.45143254	4.164883802	0.890186104	1735.3	536.3	170.3	38.8	587.4	99.4	3.3	4.2	0.6	178.1	44.6	133.5	11.9	88.4	7.4	344.9	13.9	227.9	16.5	889.5	7.6	28.2	27	361.4	63	38.2	49.4	10.1	2.7	3.3	1.5	20.9	2.2	0	0	4.9	9.7	61	12.5	3.4	4.2	1.9	0.82	0.06	0.07	107.1	21.8	5.9	7.3	3.4	803	140	96	5.7	8.4	1.5	6.7	21.7	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	06-Dec-10	26.2	7.4	31.6	21.8	2266	63	1.58	0.7
P40Cha_tr0205	51	yes	9.0904	-79.6726	0-10 cm	19-Jul-17	P40_Charco	transect	0.68	3.66	4.81	3.91	4.82	3.88	13.52767101	4.37	0.35	393.7838022	226.1124256	17.07657619	13.2	1.223606149	1.674668722	19.97485106	2.898274871	0.889767269	1568.1	555	113.7	42.7	240.4	134.4	2.3	3	1.4	148	38.8	109.2	12.5	110.9	8.9	399.9	14.6	285.9	19.6	1031.2	4.9	23.4	21	352.4	62.6	36.4	47.8	8.6	2.6	1.4	1.1	20.4	1.7	0	0	5.6	12.4	61	10.9	3.4	1.8	1.4	1.84	0.06	0.03	109.5	19.6	6	3.3	2.5	783	139	91	5.6	8.6	1.5	6.6	22.2	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	06-Dec-10	26.2	7.4	31.6	21.8	2266	63	1.58	0.7
P23_0202	55	yes	9.1217	-79.6731	0-10 cm	20-Jul-17	P23	plot	0.58	19.34	6.22	5.53	6.53	5.95	12.9543497	3.43	0.33	1449.322997	40.07	6.80125	5.9	0.2065	4.6125	11.62025	4.819	19.227	463.9	4442.7	140	261.6	393.1	60.2	24.5	1.7	6.9	416.8	180.2	236.6	10.5	23.6	2.2	144.8	12.3	61	5	373.4	26.1	32.2	81	217.4	46.8	23	13.7	1.8	4.3	2.6	4	8.3	0.7	11	0.8	7.7	11.7	28	3.7	8.9	5.3	8.4	1.68	0.31	0.19	40	5.2	12.6	7.5	11.8	483	104	58	4.6	8.4	1.8	5.4	21.6	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	20-Jul-09	26.4	7.3	31.8	21.9	2235	62	1.54	0.71
P23_0204	56	yes	9.1217	-79.6731	0-10 cm	20-Jul-17	P23	plot	0.57	30.1	6.43	5.65	6.97	6.29	9.125762916	1.49	0.12	1541.153615	34.095	4.28925	7.9	0.7135	2.665	7.66775	3.3785	35.712	482.1	4057.6	79.7	343.3	398.2	33.7	49.2	1.7	6.2	281.9	219.3	62.6	12.2	9.7	0.8	238.3	14.3	25	1.7	614.6	24.4	30.3	80	110.9	26.3	NA	8.5	1.1	3.7	3.1	1.8	5.1	0.4	9.1	0.6	7.7	11.9	34	4.5	15.1	12.6	7.5	1.19	0.44	0.37	56.8	7.4	24.9	20.8	12.3	246	58	NA	4.2	NA	NA	4.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20-Jul-09	26.4	7.3	31.8	21.9	2235	62	1.54	0.71
P23_0303	58	yes	9.1217	-79.6731	0-10 cm	20-Jul-17	P23	plot	0.67	25.65	6.07	5.25	7.02	6.14	10.41928239	3.4	0.34	1505.358185	28.07	5.11675	5.5	0.4375	1.7885	7.34275	2.226	42.484	452.9	4044	125.2	520.1	565	92.6	36.3	3.5	4.3	512.7	248.8	264	9.9	22.6	2.3	128.9	11.5	58.3	5.1	332.4	26.2	32.2	81	165.3	32.9	3.4	11.7	1.8	3.6	2.1	2.7	6.4	0.8	9.9	0.8	6.6	8.4	32	4.8	9.8	5.6	7.4	1.74	0.31	0.18	34.5	5.2	10.6	6.1	8	367	73	8	5	43.7	8.7	5.9	112.6	19.2	1.9	4.1	1.01	642.9	71.1	74.3	18.4	20.8	14.3	20-Jul-09	26.4	7.3	31.8	21.9	2235	62	1.54	0.71
P23_0402	60	yes	9.1217	-79.6731	0-10 cm	20-Jul-17	P23	plot	0.73	57.19	6.59	5.78	6.22	5.74	11.42141254	2.65	0.26	792.6815263	36.795	8.06925	4.6	1.0195	1.484	10.57275	2.5035	8.706	533.8	3948.3	119.5	340.8	507.9	58.1	9.8	4.1	4.7	321.1	130.7	190.4	10.3	33.4	3.2	139	12	86.1	7.2	358.4	24.8	31.5	78	167.7	32.1	7.7	15.2	2.1	4.3	2.8	2.7	9.1	0.9	6.6	0.5	7.3	10.4	41	5.6	11.5	7.5	7.3	1.52	0.28	0.18	57.6	7.9	16.1	10.6	10.3	373	71	19	5.2	19.2	3.7	6.1	49.6	8.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	20-Jul-09	26.4	7.3	31.8	21.9	2235	62	1.54	0.71
P23_0404	61	yes	9.1217	-79.6731	0-10 cm	20-Jul-17	P23	plot	0.68	18.52	5.85	4.79	6.1	5.4	12.15377603	2.95	0.29	815.2654092	32.345	5.56725	5.8	0.9165	2.079	8.56275	2.9955	7.945	546.3	4264.8	145.4	263.5	558.8	59.3	8.3	4	4.6	345.3	114.8	230.4	10	36.2	3.6	128.1	11.7	93.4	8	330.4	26.6	33.6	79	204.9	39.6	15.6	14	2.1	3	2.2	2.9	9.1	1	2.4	0.3	6.5	9.5	31	4.7	6.6	4.8	6.3	1.38	0.21	0.16	47.3	7.3	10.1	7.4	9.7	455	88	39	5.2	11.7	2.3	6	30	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	20-Jul-09	26.4	7.3	31.8	21.9	2235	62	1.54	0.71
P24_0202	68	yes	9.12372	-79.6767	0-10 cm	20-Jul-17	P24	plot	0.68	4.42	6.23	4.98	6.52	5.9	23.0835995	8.95	0.84	907.998889	47.69	3.958441083	12	1.200251759	5.287307158	10.446	6.487558917	18.782	355.5	2207.1	154.2	467.4	959.1	260.3	5.6	5	1.4	430.6	56.8	373.8	10.6	98.5	9.3	239.3	12.4	254.1	20.6	617.2	20.1	25.8	78	611.4	113	89.7	34.7	4.7	7	5.4	10.8	18.5	2.1	19.3	3.6	7.4	9	26	3.5	5.1	4	8	1.28	0.2	0.16	38.8	5.3	7.8	6.1	12.1	1359	251	224	5.4	6.1	1.1	6.3	15.6	2.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	06-Jul-09	26.5	7.3	31.8	22	2216	61	1.52	0.71
P24_0204	69	yes	9.12372	-79.6767	0-10 cm	20-Jul-17	P24	plot	0.48	4.07	5.96	4.76	6.46	5.59	18.42947332	6.53	0.62	746.4481536	124.215	7.519308172	16.5	1.124802713	4.561889116	13.206	5.686691828	11.918	520	1955.5	172	374.2	850.8	244.7	4	6.8	1.4	348.6	47	301.6	10.5	87.4	8.4	216.4	12.2	225.5	18.5	558	17.7	25.3	70	421.6	88.3	53.5	25.3	3.7	4.9	4.2	7.7	14.2	1.7	9.6	2.6	6.9	8.5	27	3.9	5.3	4.4	8.2	1.19	0.2	0.16	38.7	5.6	7.6	6.4	11.7	937	196	134	4.8	7	1.5	5.6	18.1	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	06-Jul-09	26.5	7.3	31.8	22	2216	61	1.52	0.71
P24_0303	71	yes	9.12372	-79.6767	0-10 cm	20-Jul-17	P24	plot	0.57	10.51	6.17	5.11	6.52	6.06	22.26222779	8.43	0.76	900.7931538	43.44	5.023207869	8.6	1.439549216	4.945742915	11.4085	6.385292131	20.643	431.8	2544.3	162.5	492.5	1000.8	271.6	6.6	7.9	1.5	422.9	54	368.9	11	93.6	8.5	228.6	12.9	241.5	18.8	589.6	22.2	28.9	77	656.7	124.6	76.8	28.8	4.3	5.6	6	9.9	18.3	1.9	16.8	3.5	6.7	9.5	20	2.9	3.8	4.1	6.8	0.92	0.19	0.21	34.2	5.1	6.6	7.2	11.8	1459	277	192	5.3	7.6	1.4	6.1	19.6	3.2	2	6.4	2.63	250.6	75.5	114.4	47.8	8.1	4.3	06-Jul-09	26.5	7.3	31.8	22	2216	61	1.52	0.71
P24_0402	73	yes	9.12372	-79.6767	0-10 cm	20-Jul-17	P24	plot	0.73	4.84	6.04	4.89	5.72	4.76	16.54840479	4.28	0.4	757.8592536	83.515	6.152962552	13.6	0.3575231	1.903014348	8.4135	2.260537448	7.579	759.3	3273.4	113	292.9	1521.9	64.2	4.4	2.8	1.3	341.7	63.7	278	10.7	56.5	5.3	153.9	12.4	145.6	11.7	396.9	29.6	38.9	76	222.3	43.1	35.8	21	3.5	6.7	2.9	5.5	12.8	1.7	3.1	1.8	6	7.5	42	7.1	13.5	5.9	11.2	2.27	0.32	0.14	49	8.2	15.6	6.8	12.9	494	96	90	5.2	5.5	1.1	6	14.2	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	06-Jul-09	26.5	7.3	31.8	22	2216	61	1.52	0.71
P24_0404	74	yes	9.12372	-79.6767	0-10 cm	20-Jul-17	P24	plot	0.62	10.91	5.23	4.46	6.2	5.33	16.38294928	5.01	0.45	1285.032178	81.965	5.849774636	14	1.462121738	3.589103625	10.901	5.051225364	13.666	595.8	2273.3	112	290.4	509.4	148	4.6	2.8	2.7	482.7	149.4	333.3	11.1	39	3.5	150.5	13	100.6	7.8	388	16.3	24	68	331.1	61.3	35.3	23	3.6	6.5	3.4	5.1	14.8	1.8	3.8	1.9	6.5	8.3	31	4.8	8.8	4.7	7	1.9	0.28	0.15	45.8	7.1	13	6.8	10.2	736	136	88	5.4	8.3	1.5	6.3	21.5	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	06-Jul-09	26.5	7.3	31.8	22	2216	61	1.52	0.71
Car_0202	81	yes	8.99074	-79.567	0-10 cm	24-Jul-17	Cardenas	plot	0.78	2.8	4.35	3.76	3.51	3.34	14.03	5.05	0.3	472	423	22.19	19	0.54	8.3	31.03	8.84	1.31	1460.1	20.6	238.4	25.3	17	0.8	2.4	0.8	0.7	132.6	64	68.6	17	107.1	6.3	736.1	19.9	276.3	13.9	1898.4	0.3	17.8	2	299	48.2	19.4	73.8	9.5	3.6	4.2	0.9	22.8	1.7	0.1	0	7.8	13	111	14.3	5.4	6.3	1.3	0.85	0.05	0.06	146	18.8	7.1	8.3	1.8	664	107	48	6.2	13.7	2.2	7.2	35.4	4.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	04-Aug-08	26.9	7.8	32.6	22.2	1891	60	1.25	0.38
Car_0204	82	yes	8.99074	-79.567	0-10 cm	24-Jul-17	Cardenas	plot	0.78	4.06	4.83	4.01	3.94	3.51	12.28	4.49	0.29	307	289	22.48	13	2.36	2.12	26.96	4.48	2.68	1343.6	86.4	176.5	37.3	96.4	16.9	5	4.7	0.5	139.6	48.2	91.4	15.7	146.1	9.3	491.3	18.3	376.9	20.6	1266.9	1.3	17.3	8	373.8	60.6	34.7	46.8	6.4	5.2	3.7	1.1	21.2	2.2	0.1	0	7.3	9.6	56	7.7	6.3	4.5	1.3	1.4	0.11	0.08	104.3	14.2	11.6	8.3	2.3	831	135	87	6.2	9.6	1.6	7.2	24.7	3.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	04-Aug-08	26.9	7.8	32.6	22.2	1891	60	1.25	0.38
